Label Sentimen;cleaned_text
positif;bagus cuma sebelum di upgrade lebih bagus karena batasan waktunya cuma peringatan tapi masuh bisa dipake
negatif;alasan kamera udah hidup tapi pas saya cek di bagian partisipasi malah mati tetapi yg lainnya yg kameranya hidup pas saya cek di partisipasi kameranya masih hidup buat saya jengkel aja zoom ini dan kejadian itu pas saya ada zoom sekolah guruku malah anggap kameraku mati padahal udah hidup dan bikin aku dianggap alpha karena kamera zoomnya mati ih jengkel banget tolong diperbaiki sistem kameranya dong pihak zoom us kalo udah aku kasih ok
positif;aplikasi yang sangat bagus bisa membantu guru dan siswa belajar online mantap deh aplikasinya
negatif;selalu bermasalah saat digunakan pada hape dengan spesifikasi jaringan g dan hanya bisa digunakan pada laptop dengan tipe tertentu mohon diperbaiki lagi
negatif;sangat buruk pihak zoom sangat membuat saya kecewa atas kameranya iklannya dan pelayanan yang kian memburuk tolong diperbaiki
negatif;saya di malaysia pakai zoom ribet log in nya akhirnya yang log in kawan saya di indonesia dan bisa menggunakan aplikasi zoom coba di perbaiki cara login biar praktis seperti wa atau fb
negatif;tolong dong diperbaiki lagi kemarin kemarin waktu saya menggunakan zoom tidak ada masalah tapi tadi saat menggunakan zoom ada masalah saya ada zoom untuk pjj dan saat masuk dilayar ada tulisan connecting selama kurang lebih menit terus tiba tiba kembali sendiri dan ada tulisan eror saya sudah laporkan masalahnya trs saya ulang lagi dan masih tidak bisa kalau begini terus saya bisa tertinggal matapelajaran
positif;mantap tp virtual backgroundnya ditingkatkan dong pihak zoom karena kadang kalo aku zoom disuruh make virtual background jadi tolong ditingkatkan ya pihak zoom sekian dari saya thx
positif;singkat cerita thanks zoom rating star kenapa total rating zoom padahal aplikasi ini paling familiar selama pandemi covid yang ngasih rating star mungkin perlu belajar banyak untuk aplikasi ini dilihat dari ulasannya malah masalah pribadi gak bisa ya jangan salahin aplikasi salahin sistemnya coba cek hp kalian duh duh
negatif;sya pake samsung m kenpa zoom jika sudah berlangsung bisa connecting keluar masuk seperti nya tidak cocok
netral;mohon tambahkan fitur tarik pesan di room chat zoom menghindari pesan pesan yang kepencet dan lain lain terimakasih
negatif;sebenarnya aplikasi cukup membantu tapi untuk virtual backgroundnya masih belum tersedia di semua type hp mohon di tanggulangi pihak zoom agar semua lebih mudah
negatif;aplikasi ini mungkin sangat bagus dan membantu tetapi dia tidak bisa mengatur koneksi dan sangat menghabiskan kuota saya sangat tidak puas mohon diperbaiki
negatif;saya kasih bintang karena selalu conecting terus padahal jaringan aku bagus tolong di perbaiki jangan sampai gara zoom yang suke ngebug nilai jadi jelek
negatif;zoom memang membantu para pelajar dalam pembelajaran online tapi mohon perbaiki dalam sistem kameranya saya sudah menyalakan kamera tetapi di bagian partisipasi kameranya mati dan setiap kali ikut zoom meeting para guru selalu meminta untuk menyalakan kamera padahal saya sudah nyalakan itu sangat menganggu karena merusak daftar hadir yang seharusnya hadir malah di alpa
negatif;saya sdh update tetapi kenapa ya kok nggak bs terhubung terakhir kupakai tdk bs menghidupkan suara video sebulum baik aja
negatif;lumayan tpi diusahakan kamera nya kadang jangan nge blur atau kayak burek gitu suara nya juga padahal sinyal bagus banget nanti kalo udh diperbaiki aku ksih bintang
positif;aplikasi ini sangat membantu saya untuk berkomunikasi karena sekarang ada wabah covid saya suka aplikasi ini kebetulan juga saya masih sekolah semoga update berikutnya lebih bagus
negatif;ini gimana si cara pendaftarannya kok bahasanya inggris gue gak tau mohon bisa ngak di ganti bahasa indonesia soalnya saya butuh banget apk ini buat belajar onlen udah gitu aja yang mau saya sampaikan terimakasih
netral;assalamualaikum saya memberi rating bintang tiga karna hp saya samsung j prime suara nya bagus gambar bagus namun jika ditengah tengah belajar saya sering tekeluar otomatis kenapa ya itu yaudah assalamualaikum
negatif;tolong lah ya bukan untuk menurunkan rating aplikasi ini tapi saya memohon dengan sangat aplikasi zoom nya error saya sudah bolak balik sign up tapi tidak bisa saya ada pertemuan penting besok untuk dev saya benar benar meminta tolong agar segera diperbaiki
negatif;kenapa ya gak bisa di download padahal ram hp saya masi banyak sudah jam lebih saya dawnload tapi bacaanya masi tertunda padahal paket sya masih banyak saya juga sudah hotspot ke yang paket telkom tetap juga gak bisa masi saja tertunda
positif;apk ny bgs banget yaaa walau kadang buat hp mati tp aku mau berterimakasih untuk pencipta apl ini karna dimasa pandemi ini apk ini tuhh membantu banget buat para anak yg masih sekolah dan bisa tatap muka walau nggk bisa ketemu kumpul trus bisa buat melepas rinduu gituu yaaa pokok ny makasih dehh
netral;apk nya si bagus ya tapi tolong dikasih filter gitu kaya instagram biar muka gue kaga buluk buluk amat jadi kaya lebih pede gitu soalnya muka gue buluk biar aga cakepan dikit kasih filter kaya instagram maaci
netral;sejak aku download zoom aku bisa beribadah online dan sekolah online pokoknya the best lah bagiku tapi ada masalah saat penggunaan zoom kenapa suara di zoom ngelek plsss di perbarui kalau bisaa
negatif;aplikasinya bagus bagus aja tuh thankyou developer tapi hp cepet panas apalagi baterainya cepet abis ditingkatkan lagi ya
positif;membantu banget cuma klo lagi jaringan kurang bagus langsung putus putus pas parahny gak bisa masuk zoomny mohon diupgrade lagi
negatif;bintang aja kualitas tampilan dari android sudah ngak full layar ngak bisa ganti background kalau sudah maksimal di android baru bintang
positif;good pembelajaran online bergantung pada kamu ohh app zoom semoga selalu membantu para pelajar dan pendidik
positif;aplikasi nya bagus banget sangat membantu saya dalam mengikuti pembelajaran sekolah ok makasih buat bantuannya dalam masa pandemi semangat terus pokoknya
positif;aplikasi terbaikkk terima kasih telah hadir ditengah pandemic inii dan menjadi inspirasi saya dan teman saya untuk menjadikannya sebagai learning media di article ilmiah kami alhamdulillah articlenya terbit di bulan ini pada jurnal jurusan saya
negatif;banyak sekali kekurangannya terutama terdapat bug kamera saya sudang mengaktifkan kamera cuma notifnya masih merah belum aktif
negatif;zoom nya bermasalah saya udah coba instal ulang dan juga update tetapi tetap keluar masuk dan tidak bisa fokus dalam meet
negatif;saya gatau kenapa tapi semenjak update aplikasinya jadi aneh saya mengaktifkan camera tapi peserta yang lainnya tidak dapat melihat gambar saya akibat hal ini saya sering dapat sanksi dari dosen dikarenakan dikira tidak mengikuti kelas sebagaimana seharusnya apakah ada solusinya
positif;zoom cloud sebagai sarana yang sangat membantu di dalam kegiatan belajar dan mengajar learning and teaching proses di era daring saat ini zoom merupakan suatu media pilihan yang tepat untuk kegiatan pembelajaran
negatif;kenapa setiap ada meeting terkendala sinyal padahal sinyal full mohon di perbaiki lagi agar sinyal yg tidak bagus juga bisa masuk saya kasih bintang dulu karena saya agak kecewa
positif;aplikasinya amat bagus baik suara maupun video amat jelas bisa video conference sampai ribu orang di split jadi zoom menggunakan hp xiaomi redmi note ram gb layar inchi kuota data telkomsel
positif;alhamdulilah dalam situasi seperti ini saya sudah merasa terbantu oleh apk ini btw namaku nisa kelas saya sangat senang dengan adanya apk ini kerena walaupun gak di sekolah tapi masih bisa bertemu guru terimakasih untuk pembuat aplikasi ini
netral;semoga bisa menjadi wadah untuk meeting atau menjadi forum online yang bersahabat sebenarnya khawatir saat ada isu bahwasahnya data yang terekam di apk ini diperjualbelikan dan sempat untuk hapus apknya cuma karena tuntutan daring ya akhirnya download lagi wanti wanti sampai saat ini takut kalo memng benar isu tsb sekian dan terimakasih tetaplah menjaga privasi data pengguna see you
negatif;aplikadi ini berguna banget buat pelajar dan mahasiswa tapi ada kendala untuk hp yang romnya kecil itu biasanaya sudah gk muat penyimpanannya alangkah baiknya di buat versi yang yang lebih kecil lagi
negatif;appsnya bagus yg kurang itu virtual backgroundnya hadirkan dong fitur virtual background di android tidak semua mahasiswa menggunakan laptop jadi hadirkan fitur virtual background supaya dosen tidak salfok sama background kami dengan latar kamar saya yang berserak dan berantakan please ya hadirin vitur virtual backgroundnya
negatif;saya suka apk ini gara saya bisa memasang virtual camera hehe dan bagus banget banyak fiturnya kenapa aku memasang virtual camera karena bisa aku tinggal wkwkwkkwkw dah sekian dari aky
positif;assalamualaikum hai nama saya caca mah jadi aplikasi zoom ini bagus banget kita bisa video call dengan cara langsungan loh aku nggak nyesel banget udah nge download aplikasi ini dah cukup sekian ya terima kasih yang udah membaca komen aku ini sampai jumpa di komen komen yang lain bye bye assalamualaikum
netral;aplikasi harus bisa tetap memberikan data inputan sebagaimana terakhir digunakan oleh pengguna seperti pengguna mencamtumkan nama dalam meetingnya namun ketika pengguna kembali menggunakan aplikasi ini sering namanya berubah tidak seperti yang dipakai pada saat terakhir digunakannya
negatif;menurut saya zoom ini sangat bagus tetapi saran dari saya yaitu supaya apk zoom bisa membuat virtual beground di hp android dikarenakan banyak juga mahasiswa yg tidak mempunyai laptop sehingga tidak bisa memakai virtual baground
negatif;parah bener semakin di update malah error mulu ini aplikasi padahal dulu pas awal pandemi aplikasi zoom dilaptop saya ga pernah error sama sekali eh sekarang semakin di update semakin kampas bukannya semakin bagus jadi nya saya sering ketinggalan kuliah gara ni aplikasi
netral;sangat membantu dan bermanfaat saat melaksanakan rapat dan komunikasi yang interaktif dalam menyelesaikan tugas dan pekerjaan kantor terutama selama masa pandemi covid dapat digunakan sebagai metode untuk mengefisiensikan waktu dan biaya pada pelaksanaan kegiatan pertemuan yang berskala besar seperti seminar ataupun pendidikan dan pelatihan akan tetapi ada beberapa hal teknis yg masih perlu ditingkatkan dan disempurnakan terutama saat terjadi gangguan sinyal jaringan telekomunikasi
positif;app sangat bagus saya suka sekali dengan app ini bisa berubah berubah saya suka sekali kalau menurut kalian bagai mana dengan app ini apakah bagus atau gimana ya tolong komen ya oke plis
positif;mantap nii zoom ud bs pake background virtual di hp tapi di hp saya belom bisa plisss di tingkatkan lagi yaa biar semua hape bisa pakai virtual background nyaa
negatif;sayang sekali semenjak update tidak bisa ganti foto profil tidak bisa ganti nama dipengaturan bukannya g bisa sih tp emang opsi nya gaada buat seting nama sama foto ditambah lagi gaada setingan buat alihin kualitas video ke standar dampaknya bakal boros kuota data di hp gw baru juga se jam udh gb hilang
negatif;gk tau kenapa appk ini selalu ada permasalahan nge leg teruss pdhl kan hp saya keluar baru gituu knp yaa padahal video nya udh sy aktifkan tpi kenapa sering aja luplep signal ama wifi rumah sy bagus bagus aja wahhh ni appk pasti ada yg gk bener tlg diperbaiki dongg appk nya jelas gk benerr
netral;untuk di android mungkin bisa ditambahkan fitur ganti background juga biar sama kaya di laptop atau pc terimakasih semoga di dengar
negatif;setiap kuliah saya bersama mahasiswa saya di program s dan pascasarjana jaringan sangat buruk nyaris setiap menit koneksi putus selama detik baru terkoneksi lagi amat mengganggu kelancaran kuliah semoga ada perbaikan tks
negatif;aplikasinya gak mengeluarkan suara sidah saya otak atik di bagian pengaturan masih sama saja kalian malah lihat video di yutub masih sama aja gak ada hasilnya jadi memang aplikasinya bagi saya ribet tidak seperti gmeet buat meeting simple cukup klik muncul dan suara langsung terdengar tidak usah otak atik setting lagi
netral;saya mendukung kopdar sekarang bukan nya saya mengabaikan kopdar tapi ada kejadian di mana saya di beri kesempatan bertanya tapi suara tetep masih di off sama saja ngacangin saya kalau kita balik situ di kacangin situ akan buat akun kita sulit dapet order tolang perbaiki lagi jek jangan terlalu banyak fitur yg ga bermanfaat dan buat berat aplikasi
positif;bagus zoom sangat membantu sekali untuk belajar rapat dan diskusi online mengingat terkadang kita terkendala jarak
positif;zoom nya bermanfaat banget buat anak anak yang lagi sekolah daring menurut ku sih gak ada kesulitan jadi aku cuma mau bilang terimakasih aja ke pembuat zoom
negatif;bagus berguna bgt dimasa pandemi gini klo buat ngadain meeting hanya saja cara untuk join ke meeting itu agak ribet dan beberapa teman saya tidak mengerti cara menggunakannya jadi kedepannya mohon untuk diperbaiki agar cara join meetingnya lebih mudah selebihnya sudah bagus
negatif;suka sih tpi ada yang kurang kadang kadang zoom nya bermasalah jadi kadang kadang belajar saring dgn zoom agak meresahkan sekian taerimakasih
negatif;maaf kenapa ya kok baru ini aku pakai zoom kamera udah ku on kan tapi di orang lain atau di partisipan kamera ku itu off padahal udah ku on kan sedangkan sinyal nya lancar untuk buka yg lain
negatif;cukup membantu utk meeting dan bljr online minta tambah fitur beautify donk klo boleh hehhehe oiya utk suara tolong lbh ditingkatkan lg krn klo kita lg ngomong trus org lain jg ngomong suara jd tidak jelas terpotong potong itu aj sih dr sy thx
positif;assalamu alaikum nama saya rifa saya suka dengan aplikasi ini karna dengan aplikasi ini pembelajaran jarak jauh pjj yang saya lakukan dapat dengan mudah dilaksanakan terimakasih yang sebesar besarnya karna telah membantu saya dalam belajar assalamu alaikum
positif;assalamualaikum perkenalkan nama saya fira saya suka sama aplikasi ini karena dengan aplikasi ini proses pembelajaran jarak jauh pjj dapat dengan mudah di lakukan terimakasih assalamualaikum semoga kita semua bisa terhindar dari virus covid
negatif;karena jika sedang zoom suara guru saya putus dan banyak suara yang tidak di kenal lalu jika ingin share screan tidak terlihat ton tonanya saya mohon untuk perbaiki aplikasi ini sekarang juga
negatif;huh gatau mau kasih bintang berapa jadi saya sudah punya akun di aplikasi zoom meeting tapi akun zoom meetingnya tiba aja hilang ga ngerti kenapa deh tadinya saya pikir karena internet saya tapi pas saya cek nyambung ke wifi lancar kok wifi nya sempat coba pakai kuota tapi tetap sama gatau kenapa tiba aja hilang tapi untuk video dan audio meeting baik dan lancar tolong dibantu ya terimakasih
negatif;maaf mau nanya saya kan ber zoom dengan orang arab atau inggris nah caranya gimana yah biar ada muncul translate nya sendiri ke indonesia kalau belum ada tolong dong di update adakan itu jujur diantara apk meeting lainnya apk ini ter the best
negatif;gak bisa join audio meeting setting menunya gak keluar pas waktu meeting mohon dibenerin settingnya udah dirubah tapi tetep balek terus gimana ini tanggapannya
negatif;setelah instal zoom hp saya mulai aneh beberapa kontak telepon hilang pengaturan hp berubah dengan sendirinya
negatif;tolong yang membuat aplikasi supaya kamera hidup atau mati nya bisa di atur sama yg punya zoom kasihan guru atau dosen ketika mengajar semua kamera mati seperti bicara bersama tembok seperti gak ada yg mendengarkan apalagi guru atau dosen yg sudah tua tolong untuk pembuat aplikasi supaya di buat opsi seperti ini
positif;pelatihan prakerja melalui aplikasi zoom ini sangat berguna sekali untuk saya belajar dunia make up memang tidak mudah terutama untuk kalangan pemuda akan tetapi pelatihan prakerja dari kemnaker membantu saya mengenal lebih jauh lagi tentang dunia make up
positif;saya kartika penny yulinar terimakasih telah menyediakan wadah bagi peserta pra kerja dan yg lain nya sehingga bisa mendapatkan ilmu atau informasi yg dibutuhkan ditambah pada saat pandemi seperti ini aplikasi ini sangat membantu untuk kita berkomunikasi jarak jauh dan mendapatkan informasi ilmu tanpa harus bertemu langsung dan menambah wawasan sehingga aplikasi ini recomended sip lah
positif;zoom cloud adalah salah satu apl yg paling the best karena sangat membantu kegiatan apa saja di musim pandemi covid spt ini dan sangat membantu pencegehan exsp virus covid krn sgl kegiatan bisa dilakukan di rumah
positif;alhamdulillh melalui aplikasi zoom saya bisa mengikuti pelatihan di dandan id dengan mudah dan bisa mengikuti pelatihan dengan baik dengan mempelajari self make up yg diajarkan di dandan id saya bisa memahaminya
positif;karena aplikasi ini sudah memotivasi guru saya untuk mengadakan zoom meeting coba aja nih aplikasi ga ada pasti ga ada guru yg mengadakan zoom
positif;aplikasi ini sangat membantu mahasiswa yang ingin sekolah online aplikasi ini juga bisa untuk videocall dengan jumlah orang lebih dari pokoknya aplikasi ini membantu guru dan para murid untuk melaksanakan sekolah online dirumah mungkin info yang saya berikan hanya sampai sini saja dan maaf juga bila saya banyak kesalaan kata assalamualaikum warahmatullahi wabarokatu terimakasih bagi orang yang telah membaca koment aku mudah mudahan kalian sehat selalu dan dilancarkan rezekinya amin
positif;zoom aplikasi terkini yang mendukung aktifitas saat pandemi bagus sekali meski terkadang terjadi eror ttp aplikasi ini tetap sangat bagus
negatif;kurang baik ketika kondisi sinyal yang berubah ubah mohon di perbaiki tentang sinyal karena banyak pelosok negeri yang masih minim sinyal dan penyampaian materi melalui zoom ini terkadang penting
negatif;suaranya tidak bisa di pakai kan speaker bluetooth atau apapun yg terkoneksi melalui bluetooth padahal itu penting
negatif;tolong di perbaiki bug kameranya saya dimarahi oleh dosen saya karena kameranya bermasalah tidak mau aktif mohon untuk perbaikannya
positif;aplikasi yg sangat bermanfaat sekali memudahkan kita untuk belajar daring ada tempat untuk absen tanya jawab kerja daring presentasi interview dan untuk komunikasi tatap muka jarak jauh pokoknya kalian wajib download aplikasi zoom ini guys karena mudah banget di gunakan simpel dan pastinya sangat kita butuhkan untuk saat ini yg kebanyakan semuanya di lakukan dengan jarak jauh
positif;terimakasih aplikasi zoom ini sangatlah bagus dan mudah serta sangatlah membantu saya dimasa pandemi ini untuk berinteraksi secara tidak langsung serta mempermudah untuk melakukan sesi tanya jawab
netral;saya sangat mengapresiasi adanya aplikasi ini ketika sinyal saya tidak stabil saya mungkin keluar dari room zoom tetapi bisa otomatis join lagi
positif;app ini sangat membantu saya untuk belajar dan juga walau pun terpisah jarak dari orang terdekat tapi karena app ini serasa jarak menjadi semakin dekat terima kasih salam untuk minna san
negatif;saya bener mengeluh pertama saya pakai apk ini bagus dan lancar kamera nya bisa hidup sekarang apk ini menjadi burik padahal saya sudah hidupkan kamera disaya hidup kameranya diorang mati tolong benarkan supaya bener seperti semula
negatif;awal ny sangat bagus tapi smakin lama kenapa jadi ga guna gini mempersulit sering eror jangankan bintang bintang satu pun saya ga rela kasi karna klau ga kasi bintang ya ga bisa kasi saran tolong di perbaiki lagi ya klau kalian bisa
negatif;punteen misi akang teteh mas mbak gan sist boleh dong zoom tambahin fitur efek filter gtu biar cantik di kamera g burik burik amat
positif;audio dan videonya sangat jernih sehingga webinar pelatihan prakerjanya sangat jelas didengar dan dilihat terima kasih zoom
positif;terimakasih zoom by skill akademy saya merasa sangat senang sekali dengan adanya fasilitas yang disediakan oleh aplikasi zoom ini ilmunya sangat membantu dalam meningkatkan minat dan bakat saya kedepannya semoga jaya dan sukses selalu zoom
negatif;zoomnya kurang bersahabat kurang bagus saya mengikuti zoom untuk perkuliahan saya kamera saya saya aktifin tapi di partisipannya kameranya nggak ngk jadi absen saya kena gara di partisipan kameranya ngk kebaca aktif padahal saya selalu aktifin kamera tiap kali nge zoom tolong dong pihak zoom di perbaiki lagi aplnya
positif;menggunakan aplikasi zoom sangat menarik mudah akses nya sehingga sangat mudah mengikyti meeting raoat
positif;aplikasi ini sangat bermanfaat sangat membantu saya dalam menyelesaikan pelatihan webinar untuk program prakerja sangat mudah di akses dan sangat pas dengan situasi pandemi seperti saat ini sukses selalu dan terima kasihhh
netral;sebaiknya zoom menambahkan fitur riwayat meeting zoominar dan berapa lama waktu saat bergabung di room zoom agar mempermudah mahasiswa saat lupa screenshot untuk kepentingan absensi
positif;bagus saya sangat menyukai apk zoom ini dan saya berkat zoom ini pun bisa mendapatkan sertifikat di prakerja kalo tidak ada apk zoom ini mungkin saya tidak akan mendapatkan sertifikat dari skill academy
netral;saya baru pertama maublanja kurang kurang bijak untuk melakukanblanjasimtim online maublanja yangpaket sebagian prodak sementara ini belum jadi kebutuhan yang mau saya blanja trio poundation subunmandi deodoran mohon saran dan bantuannya trimakasi hartono
positif;alhamdulillah dengan adanya aplikasi zoom ini saya mendapatkan banyak manfaat dan benefit yang sangat banyak dibanding sebelum ada pandemi covid lalu saat pandemi covid ini sangat banyak diadakan webinar dan pelatihan online untuk mengupgrade diri kita yang menjadikan kita tidak harus bertemu langsung di satu tempat dengan aplikasi ini menjadikan tempat yang jauh menjadi serasa dekat semoga saja fiturnya terus ditingkatkan supaya pengguna aplikasi zoom lebih nyaman saat memakainya
positif;saya suka dengan aplikasi ini dan nyaman untuk di gunakan dapat melakukan pembelajaran dari jauh dan lebih baik kedepannya cmn cara menginstal nya yg agaak rumit dan sya suka dengan aplikasi ini untuk mempermudah pembelajaran online saa t waktu pendemi ini cocok digunakan dan bisa dapat bertemu teman langsung tatap muka teman sya sangat giat untuk mengikuti pembelajaran aplikasi zoom ini dapat digunakan untuk siapa saja maupung orang tu untuk bekerja online anak anak anak baik
positif;bagus banget aplikasi ini kita bisa melakukan vc bertatap muka online lewat sini dan bisa share screen jadi kita belajar atau kerja nya enak bisa chat juga wah pokoknya ter the best lah zoom makasi ya zoom
positif;bagi kalian yg merasa kesulitan atau ada kendala memakai aplikasi zoom bisa dicoba aplikasi yg lainnya seperti cisco webex atau google meet well gw sih lebih suka ke zoom sih walau nguras banyak dan butuh koneksi yg stabil tpi kalau pake zoom itu kita bisa sembari buka tab yg lain jdi enak
negatif;saya kasih bintang fiturnya sudah bagus semuanya sudah oke tapi waktu meet nya hanya menit sangat sedikit klo bisa waktu nya ditambahin karna mengganggu saat pelajaran guru sedang menjelaskan zoom nya tiba mati jadi tolong di ubah itu aja
netral;apk ini sangat membantu hanya saja gtw kok gk bisa ya record suara dri host pada saat zoom berlangsung yg ke record hanya suara pribadi
negatif;zoom tolol benerin dong bug nya gua join di handphone gabisa connect audio kalo di klik keterangannya call over internet mulu masa tiap meeting harus pake laptop tolong benerin bug nya
negatif;ini kenapa zoom kog sering putus udah ganti hp pakai laptop pakai wifi pakai kuota kog masih sering putus tadi ini aja putus ada kali tapi yg lainya gak papa mohon di bantu karena utk online sekolah thanks
netral;aplikasi yang membantu saya bertemu dengan teman teman dan guru walaupun di rumah aja walaupun zoom ini menghabisi baterai tetapi kami sangat bahagia karna bisa bertemu lagi terima kasih zoom
positif;apk ini sangat bagus sy bisa bljr online dengan mudah saya bisa mengikuti pembelajaran dengan koneksi yg bgs tapi kalau aplikasi lain jelek banget koneksi nya makasih developer
negatif;ini apk udah bagus tapi masalahnya mikrofon saya bagus kok di zoomnya gak ada tulisan speaking dan suara saya gak terdengar sama peserta zoom lain
negatif;lain kali adakan setingan untuk menghapus pesan yang telah kita berikan siapa tau ada informasi pribadi yang tidak sengaja disebar terimakasih tunduh anj
negatif;sa sdh cape pake zoom coba to kes pengertian sedikit jaringan jelek tida bsa akses zoom perbaiki tabe bintang sa kasih kita karna memang sa kecewa skali klo harus bgus jaringanta bru bisa akses zoom
negatif;aplikasinya tidak nyimpan sama sekali padahal aku sudal berulang ulang mengisntal tapi tetap saja nggk bisa saya sudah menghapus semua aplikasinya tapi tetap nggk bisaa tolong diperbaiki aplikasinya maaf saya bisa mengasih bintang
negatif;login nya ya ampun susah banget bikin pusing kepala bolak balik email google tetep gabisa padahal urgent bgt kenapa si ini udh tanya sana sini ttp gabisa sulitnyaaaaaaaaaa minta ampun dah
negatif;virtual background belom support kesemua hp padahal punya saya udah versi android nanti kalo udah diperbaikin saya ubah bintang
negatif;kok gak bisa didownload sih padahal sudah dijalankan sarannya kalau gak bisa download padahal pas saya download app lain yg lebih besar datanya buat ngetes lancar aja gimana nih padahal saya sudah dapat tiket buat webinar dari prakerjanya kalau gak didownload gimana mau lihat webinarnya padahal dulu masih bisa diwebsite tanpa download
negatif;setelah diupdate ketika join zoom meeting kok gak auto join audio padahal di pengaturannya udah diset auto join audio call over intetnet katanya memperbaiki bug update ini tapi kok malah ada bug lain
positif;terimakasih sudah membuat apk ini saya bisa berkomunikasi dengan temang ataupun guru di hp semenjak ada corona saya memakai ini untuk belajar dan bertemu dgn guru kulaitiasnya jg bagus dan semangat untuk developernyaa
positif;berfaedah sekali aplikasinya apalagi kl lagi ada pagebluk dan keadaan tdk memungkinkan untuk melakukan pembelajaran secada bersemuka sukses zoom semoga semakin aman dan banyak penggunanya
netral;sebenernya apk ini bagus tapi kok kalo ganti poto profil di hp gk bisa yah padahal kalo di laptop bisa jadi saya cuma masalahin itu aja tapi semuanya baik baik aja kok mudah mudahan kita gk lama ya pake apk ini dan pandemi ini cepat berakhir dan bisa cepat beraktivitas di sekolah lagi tetap semangat untuk sekolah online
negatif;masih ada bug kenapa sih join suara ribet banget harus ada internet bagus segala harusnya udh otomatis
negatif;tolong dipermudah untuk login ya login kalau bisa di aplikasi saja jangan ke browser saya sampai sekarang blm bisa login sangat membuang buang waktu hanya untuk login tolong dipermudah saya akan memberi star
netral;saya awalnya terbantu dengan zoom tapi akhir akhir ini saya sudah oncam tetapi tetap offcam di rapat sudah saya coba install ulang tetap saja tidak betul kembali
negatif;tolong perbaiki zoom nya wifi rumah saya udah aktif tapi zoom nya tetap eror mohon diperbaiki
netral;aplikasi ini sangat membantu dan sangat berarti dalam pelaksanaan pembelajaran maka dari itu saya kasih ratingnya bintang saya sudah pakai aplikasi ini kurang lebih bulan akan tetapi akhir ini kenapa ya aplikasi zoom nya agak eror kl sdh join zoom semua layar teman guru warna nya hitam saja padahal video zoom mereka aktif tapi tidak muncul wajah mereka juga suka banget berkali kali tiba left sendiri itu aja dari saya terimakasih banyak
netral;suara yang ter default ketikan mengikuti webinar terlalu besar volume suaranya tidak bisa di kecilkan suaranya
positif;aplikasi ini bagus benget saya suka menggunakan aplikasi apalagi sekarang pembelajaran menggunakan metode online maka dari itu saya beri bintang karena aplikasi nya bagus banget aku nggak sia sia download aplikasi ini aplikasi ini sangat membantu saya saat pembelajaran online saya berterima kasih kepada yang telah membuat aplikasi ini oya bagi yang belum download ayo buruan download rugi loh bagi kalian yang nggak download aku cepetan download aplikasi ini
negatif;aplikasi ini bagus loh buat masa masa pandemi ini karena bagus apk ini juga berguna buat belajar online dan juga berguna untuk kalo yang ada bisnis tapi kekurangan aplikasi ini ada kalau saya lagi zoom kadang keluar sendiri padahal saya gk pencet keluar dan host zoom nya juga gk keluarin saya dari zoom l saya sudah aktifkan speaker suara dan videonya di zoom untuk bicara tapi kenapa saya liat diri saya di partipasipan kenapa video dan speaker suara saya gk keluar uptade lebih baik
positif;aplikasi nya bagus bgt ak jadi bisa zoom sama temen ak buat main belajar dll tapi mohon diperbagus apk nya karna sering ada bug suara tapi pk ini muantaappp
positif;hai semua perkenalkan namaku imelda a rivandi aku dipanggil mel aku mau kasih tahu aplikasi ini bagus banget walaupun kita hanya tatap muka tapi aplikasi ini sangat membantu kita belajar aku juga jadi bisa lihar muka teman teman aku walau dari jauh aku memulai zoom pukul pagi sampai pukul setengah walaupun dari jarak jauh tapi kalau kita pakai aplikasi ini loadingnya tdk terlalu lama jadi bisa menunggu dan cara penggunaan nya juga gampang banget sisa masukin id gampang kan guys
negatif;tolong buat devalopers untuk memudahkan proses join maupun sig up kedalam apk sehingga orang orang merasa apk ini mudah untuk di jalankan oiyah buat juga apk ini tidak terlalu membutuhkan jarigan yang super legit karna tidak semua tkp mempunyai koneksifitas yang baik sekian dari saya salam hormat untuk devalopers
negatif;males banget jadi ketinggalan kuliah dikira dosen nggak hadir pdhal mah aplikasinya tiba keluar sendiri gak cuma sekali duakali
negatif;terimakasih untuk aplikasinya selain berat lelet koneksi dan yang paling penting gak ada fitur record untuk android saya ud cari di youtube ternyata pakai fitur tambahan bagus pakai google meet
positif;syalom terima kasih aplikasi zoom aplikasi zoom sangat membantu saya dalam mengikuti webinar pelatihan prakerja aplikasinya mudah dipahami dan digunakan semoga dapat memberikan yang terbaik bagi penggunanya terimakasih
negatif;mohon utk diupdate ulang kembali sistem apk nya agar bisa kompatibel dengan merk android manapun serta bisa digunakan android dari tahun sekalipun bisa menggunakannya terima kasih itu hnya masukan dr saya soalny orangtua saya pemilik android lama dan sistem nya tidak kompatibel dgn apk skrg
negatif;susah log in susah bikin meeting gak bisa record di hp hanya menit dan sangat membingungkan please fix this and ill give star
positif;buat yg ga ada suara mungkin spiker zoom nya mati soalnya aku juga ga ada suara terus aku pencet tombol folumenya yg ada di bawah vidio lalu langsung bisa semoga membantu kalo kurang jelas bisa liat di youtube dan buat yg ga bisa daftar engga daftar bisa tunggu guru kalian mengirim link dari zoom semoga ulasan nya membantu
positif;terimakasi zoom berkat zoom saya bisa menyelesaikan pelatihan saya zoom ini sangat bagus vidionya jelas audionya juga ga bakal nyesel kalau kalian download sukses selalu zoom wajib download
